[200~+-------------------------------+------------+---------------------+------------+-------------+----------------+--------+----------+-------------+-----------------+--------+----------------+--------+------------------+-------+
| Trial name                    | status     | loc                 | dataname   | diffusion   |   dropout_prob |   head | if_gat   | if_linear   |   learning_rate |   nhid |   weight_decay |   iter |   total time (s) |   acc |
| training_function_0ad41_00111 | TERMINATED | 172.16.3.10:4060914 | Cora       | randomwalk  |            0.1 |      8 | True     | False       |           5e-05 |    128 |         0.0001 |      1 |          61.2638 | 0.791 |
| training_function_0ad41_00112 | TERMINATED | 172.16.3.10:4066836 | Cora       | sym         |            0.5 |      8 | True     | False       |           5e-05 |    128 |         0.0001 |      1 |          48.8884 | 0.786 |
| training_function_0ad41_00113 | TERMINATED | 172.16.3.10:4067500 | Cora       | randomwalk  |            0.5 |      8 | True     | False       |           5e-05 |    128 |         0.0001 |      1 |          87.0423 | 0.796 |
| training_function_0ad41_00114 | TERMINATED | 172.16.3.10:4069936 | Cora       | sym         |            0.2 |     16 | True     | False       |           5e-05 |    128 |         0.0001 |      1 |          85.6721 | 0.785 |
| training_function_0ad41_00115 | TERMINATED | 172.16.3.10:4072894 | Cora       | randomwalk  |            0.2 |     16 | True     | False       |           5e-05 |    128 |         0.0001 |      1 |         134.081  | 0.78  |
| training_function_0ad41_00116 | TERMINATED | 172.16.3.10:4076363 | Cora       | sym         |            0.1 |     16 | True     | False       |           5e-05 |    128 |         0.0001 |      1 |          86.846  | 0.789 |
| training_function_0ad41_00117 | TERMINATED | 172.16.3.10:4084447 | Cora       | randomwalk  |            0.1 |     16 | True     | False       |           5e-05 |    128 |         0.0001 |      1 |          90.5258 | 0.781 |
| training_function_0ad41_00118 | TERMINATED | 172.16.3.10:4084570 | Cora       | sym         |            0.5 |     16 | True     | False       |           5e-05 |    128 |         0.0001 |      1 |         132.175  | 0.795 |
| training_function_0ad41_00119 | TERMINATED | 172.16.3.10:4091691 | Cora       | randomwalk  |            0.5 |     16 | True     | False       |           5e-05 |    128 |         0.0001 |      1 |          91.0056 | 0.79  |
| training_function_0ad41_00120 | TERMINATED | 172.16.3.10:4094673 | Cora       | sym         |            0.2 |      8 | True     | False       |           1e-05 |    128 |         0.0001 |      1 |          86.369  | 0.785 |
| training_function_0ad41_00121 | TERMINATED | 172.16.3.10:4098888 | Cora       | randomwalk  |            0.2 |      8 | True     | False       |           1e-05 |    128 |         0.0001 |      1 |          66.741  | 0.781 |
| training_function_0ad41_00122 | TERMINATED | 172.16.3.10:4102341 | Cora       | sym         |            0.1 |      8 | True     | False       |           1e-05 |    128 |         0.0001 |      1 |          85.2973 | 0.788 |
| training_function_0ad41_00123 | TERMINATED | 172.16.3.10:4104677 | Cora       | randomwalk  |            0.1 |      8 | True     | False       |           1e-05 |    128 |         0.0001 |      1 |          66.305  | 0.785 |
| training_function_0ad41_00124 | TERMINATED | 172.16.3.10:4110467 | Cora       | sym         |            0.5 |      8 | True     | False       |           1e-05 |    128 |         0.0001 |      1 |          87.9835 | 0.789 |
| training_function_0ad41_00125 | TERMINATED | 172.16.3.10:4111644 | Cora       | randomwalk  |            0.5 |      8 | True     | False       |           1e-05 |    128 |         0.0001 |      1 |          66.5048 | 0.779 |
| training_function_0ad41_00126 | TERMINATED | 172.16.3.10:4117505 | Cora       | sym         |            0.2 |     16 | True     | False       |           1e-05 |    128 |         0.0001 |      1 |          89.5251 | 0.798 |
| training_function_0ad41_00127 | TERMINATED | 172.16.3.10:4117585 | Cora       | randomwalk  |            0.2 |     16 | True     | False       |           1e-05 |    128 |         0.0001 |      1 |         132.707  | 0.788 |
| training_function_0ad41_00128 | TERMINATED | 172.16.3.10:4124570 | Cora       | sym         |            0.1 |     16 | True     | False       |           1e-05 |    128 |         0.0001 |      1 |          98.0607 | 0.793 |
| training_function_0ad41_00129 | TERMINATED | 172.16.3.10:4129166 | Cora       | randomwalk  |            0.1 |     16 | True     | False       |           1e-05 |    128 |         0.0001 |      1 |         132.778  | 0.796 |
| training_function_0ad41_00130 | TERMINATED | 172.16.3.10:4132719 | Cora       | sym         |            0.5 |     16 | True     | False       |           1e-05 |    128 |         0.0001 |      1 |         100.57   | 0.795 |
| training_function_0ad41_00131 | TERMINATED | 172.16.3.10:4140981 | Cora       | randomwalk  |            0.5 |     16 | True     | False       |           1e-05 |    128 |         0.0001 |      1 |         133.452  | 0.787 |
| training_function_0ad41_00132 | TERMINATED | 172.16.3.10:4143268 | Cora       | sym         |            0.2 |      8 | True     | False       |           1e-06 |    128 |         0.0001 |      1 |          61.5621 | 0.755 |
| training_function_0ad41_00133 | TERMINATED | 172.16.3.10:4148638 | Cora       | randomwalk  |            0.2 |      8 | True     | False       |           1e-06 |    128 |         0.0001 |      1 |          63.3347 | 0.76  |
| training_function_0ad41_00134 | TERMINATED | 172.16.3.10:4153768 | Cora       | sym         |            0.1 |      8 | True     | False       |           1e-06 |    128 |         0.0001 |      1 |          86.3178 | 0.758 |
